Nr 	Pit	Name	Age	Horizon	BD_nr	Dish_weight	Wet_soil_dish	Wet_soil_weight	Dry_soil _dish	Dry_soil	Stones_weight	Volume	Stones_density	Stones volume	g/cm_soil_density	g/cm_Bulk_Density	Moisture
288	17	BADA 	V.OLD	Bhs	BD4	8.84	227.33	218.49	189.17	180.33	34.83	100	2.170176212	16.04938797	1.455	1.733161873	21.16120446
289	17	BADA 	V.OLD	Bhs	BD5	8.8	195.21	186.41	166.23	157.43	42.49	100	2.170176212	19.57905527	1.1494	1.429229666	18.40818141
290	17	BADA 	V.OLD	E	BD1	8.88	119.05	110.17	87.6	78.72	16.47	100	2.170176212	7.589245476	0.6225	0.673622895	39.95172764
291	17	BADA 	V.OLD	E	BD2	8.83	156.8	147.97	126.4	117.57	26.65	100	2.170176212	12.2801088	0.9092	1.036480994	25.85693629
292	17	BADA 	V.OLD	E	BD3	8.84	175.31	166.47	145.54	136.7	28.65	100	2.170176212	13.20169295	1.0805	1.244839948	21.77761522
293	17	BADA 	V.OLD	E	BD4	8.99	143.21	134.22	120.36	111.37	33.3	100	2.170176212	15.3443761	0.7807	0.922206894	20.51719494
294	17	BADA 	V.OLD	E	BD5	8.84	177.4	168.56	145.48	136.64	36.33	100	2.170176212	16.74057609	1.0031	1.204788543	23.36065574
295	18	RYV	V.OLD	E	BD1	8.84	137.75	128.91	102.99	94.15	27.1	100	2.170176212	12.48746523	0.6705	0.766175956	36.91980882
296	18	RYV	V.OLD	E	BD2	8.92	149.56	140.64	110.68	101.76	21.25	100	2.170176212	9.791831595	0.8051	0.892491239	38.20754717
297	18	RYV	V.OLD	E	BD3	8.91	133.95	125.04	97.22	88.31	20.6	100	2.170176212	9.492316746	0.6771	0.748113282	41.59211867
298	18	RYV	V.OLD	E	BD4	8.79	160.53	151.74	116.09	107.3	33.35	100	2.170176212	15.3674157	0.7395	0.873776934	41.416589
299	18	RYV	V.OLD	E	BD5	8.9	148.43	139.53	115.92	107.02	55.93	100	2.170176212	25.77210076	0.5109	0.688285679	30.37749953
300	13	L.EIL	YNG	E	BD6	8.77	92.03	83.26	80.91	72.14	29.7	100	2.170176212	13.68552463	0.4244	0.491690413	15.41447186
355	9	DRUM 	YNG	E	BD1	8.99	155.57	146.58	123.63	114.64	35.87	100	2.170176212	16.52861173	0.7877	0.943676649	27.8611305
356	9	DRUM 	YNG	E	BD2	8.92	157.39	148.47	133.42	124.5	67.76	100	2.170176212	31.22327101	0.5674	0.824988348	19.25301205
357	9	DRUM 	YNG	E	BD3	8.9	166.04	157.14	143.46	134.56	80.66	100	2.170176212	37.16748877	0.539	0.857836158	16.78061831
358	9	DRUM 	YNG	E	BD4	8.87	169.15	160.28	145.03	136.16	99.34	100	2.170176212	45.77508474	0.3682	0.679023652	17.71445358
359	9	DRUM 	YNG	E	BD5	8.87	126.66	117.79	109.9	101.03	73.51	100	2.170176212	33.87282544	0.2752	0.416167789	16.58913194
360	10	DRUM 	YNG	Bhs	BD1	8.79	158.81	150.02	116.38	107.59	52.81	100	2.170176212	24.33442948	0.5478	0.723975246	39.43675063
361	10	DRUM 	YNG	Bhs	BD2	8.83	153.07	144.24	120	111.17	64.07	100	2.170176212	29.52294825	0.471	0.668302644	29.74723397
362	10	DRUM 	YNG	Bhs	BD3	9	158.22	149.22	120.19	111.19	55.59	100	2.170176212	25.61543145	0.556	0.747466862	34.20271607
363	10	DRUM 	YNG	Bhs	BD4	8.65	165.15	156.5	127.44	118.79	54.91	100	2.170176212	25.30209284	0.6388	0.855177908	31.74509639
364	10	DRUM 	YNG	Bhs	BD5	8.91	155.96	147.05	119.8	110.89	61.72	100	2.170176212	28.44008687	0.4917	0.687116541	32.60889169
365	5	MOR	OLD	Bhs	BD1	8.86	129.25	120.39	119.67	110.81	66.35	100	2.170176212	30.57355418	0.4446	0.640389976	8.645429113
366	5	MOR	OLD	Bhs	BD2	8.85	131.99	123.14	123.11	114.26	65.91	100	2.170176212	30.37080567	0.4835	0.694392639	7.771748643
367	5	MOR	OLD	Bhs	BD3	8.77	138.49	129.72	128.39	119.62	65.5	100	2.170176212	30.18188092	0.5412	0.775156947	8.443404113
368	5	MOR	OLD	Bhs	BD4	8.78	124.31	115.53	115.7	106.92	62.34	100	2.170176212	28.72577796	0.4458	0.625471576	8.052749719
369	5	MOR	OLD	Bhs	BD5	8.78	140.69	131.91	128.87	120.09	69.24	100	2.170176212	31.90524328	0.5085	0.746753531	9.842618036
388	1	TULL 	GRASS	Ah_UPP	BD1	8.45	126.6	118.15	94.49	86.04	14.13	100	2.170176212	6.51099202	0.7191	0.769181335	37.31985123
389	1	TULL 	GRASS	Ah_UPP	BD2	8.85	133.91	125.06	96.76	87.91	12.22	100	2.170176212	5.630879157	0.7569	0.80206321	42.25912865
390	1	TULL 	GRASS	Ah_UPP	BD3	8.44	154.43	145.99	114.9	106.46	12.07	100	2.170176212	5.561760346	0.9439	0.999489194	37.13131693
391	1	TULL 	GRASS	Ah_UPP	BD4	8.77	154.15	145.38	120.55	111.78	38.76	100	2.170176212	17.86030083	0.7302	0.888973307	30.05904455
392	1	TULL 	GRASS	B	BD1	8.32	119.31	110.99	100.55	92.23	24.43	100	2.170176212	11.25715039	0.678	0.764005216	20.34045321
393	1	TULL 	GRASS	B	BD2	8.86	147.37	138.51	129.03	120.17	47.3	100	2.170176212	21.79546515	0.7287	0.931787397	15.26171257
394	1	TULL 	GRASS	B	BD3	8.96	162.5	153.54	138.82	129.86	53.11	100	2.170176212	24.47266711	0.7675	1.016188406	18.23502233
395	1	TULL 	GRASS	B	BD4	8.76	104.87	96.11	87.8	79.04	16.45	100	2.170176212	7.580029635	0.6259	0.677234582	21.59665992
396	4	MOR	GRASS	Ah_UPP	BD1	8.76	135.74	126.98	92.77	84.01	22.47	100	2.170176212	10.35399793	0.6154	0.686477908	51.14867278
397	4	MOR	GRASS	Ah_UPP	BD2	8.72	142.72	134	106.71	97.99	49.11	100	2.170176212	22.62949881	0.4888	0.631765327	36.74864782
398	4	MOR	GRASS	Ah_UPP	BD3	8.34	121.98	113.64	93.61	85.27	37.25	100	2.170176212	17.1645048	0.4802	0.57970318	33.27078691
399	4	MOR	GRASS	Ah_UPP	BD4	8.75	127.85	119.1	93.15	84.4	24.6	100	2.170176212	11.33548505	0.598	0.674452457	41.11374408
400	4	MOR	GRASS	Ah_UPP	BD5	8.75	113.82	105.07	87.6	78.85	33.68	100	2.170176212	15.51947709	0.4517	0.534679456	33.25301205
401	4	MOR 	GRASS	B	BD1	8.73	202.76	194.03	171.51	162.78	105.08	100	2.170176212	48.42003125	0.577	1.118651317	19.19769013
402	4	MOR 	GRASS	B	BD2	8.74	83.26	74.52	68.31	59.57	42.36	100	2.170176212	19.5191523	0.1721	0.213839696	25.0965251
403	4	MOR 	GRASS	B	BD3	8.8	220.5	211.7	192.74	183.94	135.4	100	2.170176212	62.39124696	0.4854	1.29065699	15.09187779
404	4	MOR 	GRASS	B	BD4	8.71	190.84	182.13	158.57	149.86	84.52	100	2.170176212	38.94614618	0.6534	1.070202713	21.5334312
