Sample.nr.	Pit_nr	Name	Age	Horizon	PSA_nr	pH	Nperc	Cperc	Depth	Stones_observed_perc	Sotnes_measured_perc	Moisture	BD	Clay	Silt	Sand	PSA_Moisture	Horizon_Width	Comments	N_tha	C_tha	marker	newBD2	N_tha_Ohnew	C_tha_Ohnew
16	17	BADA	V.OLD	E	51	3.45	0.049	0.66	32.5	0.2	0.130311999	26.29282597	1.016387855	2.3	20.9	76.8	3.14	1	NA	0.049803005	0.670815984	17_E	NA	0.049803005	0.670815984
17	17	BADA	V.OLD	Bhs	52	4.36	0.057	0.953	54	0.35	0.157471084	19.15450757	1.464214572	2.3	25	72.7	36.1	21.5	NA	1.794394958	30.00102447	17_Bhs	NA	1.794394958	30.00102447
44	18	RYV	V.OLD	Ah	NA	3.25	0.32	19.717	34	0	0.079154863	63.91897691	0.51583011	9.05	22.15	68.8	23.4	0.5	NA	0.082532818	5.085311139	18_Ah	NA	0.082532818	5.085311139
45	18	RYV	V.OLD	E	57	3.42	0.074	2.244	41	0.15	0.14582226	37.70271264	0.793768618	3.5	12.9	83.6	8.04	7	NA	0.411172144	12.46851745	18_E	NA	0.411172144	12.46851745
46	18	RYV	V.OLD	Bhs	58	3.98	0.067	1.599	49	0.7	0.18964543	19.68892342	0.957549343	2.9	13.3	83.8	15.3	8	NA	0.513246448	12.2489712	18_Bhs	NA	0.513246448	12.2489712
3	19	RYV	OLD	Ah	NA	2.52	0.384	18.146	20.5	0	0.079154863	63.91897691	0.51583011	23.1	29.65	47.25	50	2.3	NA	0.455581153	21.5285823	19_Ah	NA	0.455581153	21.5285823
4	19	RYV	OLD	E	59	3.28	0.073	0.916	35.5	0.1	0.147407385	14.53461289	1.096239385	3.5	12.9	83.6	8.04	5	NA	0.400127376	5.020776383	19_E	NA	0.400127376	5.020776383
5	19	RYV	OLD	Bhs	60	3.93	0.111	3.087	55	0.5	0.056815663	25.05333876	1.083056041	2.9	13.3	83.8	15.3	19.5	NA	2.344274801	65.19618297	19_Bhs	NA	2.344274801	65.19618297
9	20	RYV	OLD	Ah	61	2.57	0.71	37.712	15	0	0.079154863	63.91897691	0.51583011	28.3	26.1	45.6	59.8	1	NA	0.366239378	19.45298511	20_Ah	NA	0.366239378	19.45298511
10	20	RYV	OLD	E	62	3.55	0.064	0.897	19	0.05	0.056281144	20.86591334	1.137888991	2.2	15.7	82.1	3.86	4	NA	0.291299582	4.0827457	20_E	NA	0.291299582	4.0827457
11	20	RYV	OLD	Bhs	63	3.87	0.065	1.345	59	0.1	0.023896677	37.91073256	0.929114547	4.2	17.1	78.7	18.8	40	NA	2.415697822	49.98636263	20_Bhs	NA	2.415697822	49.98636263
