Age	Live_vol_perc	Repeat	PI	PI proportion
24	0.71797725	12	0.07	0.052136817
24	0.71797725	12	0.07	0.052136817
24	0.71797725	12	0.07	0.052136817
24	0.71797725	12	0.00	0
24	0.71797725	12	0.00	0
25	0.739445859	12	0.00	0
25	0.739445859	12	0.00	0
25	0.739445859	12	0.00	0
25	0.739445859	12	0.07	0.053695787
25	0.739445859	12	0.07	0.053695787
25	0.739445859	12	0.07	0.053695787
25	0.739445859	12	0.07	0.053695787
25	0.739445859	12	0.07	0.053695787
25	0.739445859	12	0.07	0.053695787
25	0.739445859	12	0.07	0.053695787
25	0.739445859	12	0.00	0
25	0.739445859	12	0.00	0
26	0.760676773	12	0.00	0
26	0.760676773	12	0.00	0
26	0.760676773	12	0.00	0
26	0.760676773	12	0.07	0.055237497
26	0.760676773	12	0.07	0.055237497
26	0.760676773	12	0.07	0.055237497
26	0.760676773	12	0.07	0.055237497
26	0.760676773	12	0.07	0.055237497
26	0.760676773	12	0.07	0.055237497
26	0.760676773	12	0.07	0.055237497
26	0.760676773	12	0.00	0
26	0.760676773	12	0.00	0
27	2.028470252	12	0.00	0
27	2.028470252	12	0.00	0
27	2.028470252	12	0.00	0
27	2.028470252	12	0.07	0.147299908
27	2.028470252	12	0.07	0.147299908
27	2.028470252	12	0.07	0.147299908
27	2.028470252	12	0.07	0.147299908
27	2.028470252	12	0.07	0.147299908
27	2.028470252	12	0.07	0.147299908
27	2.028470252	12	0.07	0.147299908
27	2.028470252	12	0.00	0
27	2.028470252	12	0.00	0
28	3.296263731	12	0.00	0
28	3.296263731	12	0.00	0
28	3.296263731	12	0.00	0
28	3.296263731	12	0.07	0.239362319
28	3.296263731	12	0.07	0.239362319
28	3.296263731	12	0.07	0.239362319
28	3.296263731	12	0.07	0.239362319
28	3.296263731	12	0.07	0.239362319
28	3.296263731	12	0.07	0.239362319
28	3.296263731	12	0.07	0.239362319
28	3.296263731	12	0.00	0
28	3.296263731	12	0.00	0
29	4.564067493	12	0.00	0
29	4.564067493	12	0.00	0
29	4.564067493	12	0.00	0
29	4.564067493	12	0.07	0.331425477
29	4.564067493	12	0.07	0.331425477
29	4.564067493	12	0.07	0.331425477
29	4.564067493	12	0.07	0.331425477
29	4.564067493	12	0.07	0.331425477
29	4.564067493	12	0.07	0.331425477
29	4.564067493	12	0.07	0.331425477
29	4.564067493	12	0.00	0
29	4.564067493	12	0.00	0
30	5.831850689	12	0.00	0
30	5.831850689	12	0.00	0
30	5.831850689	12	0.00	0
30	5.831850689	12	0.07	0.423487142
30	5.831850689	12	0.07	0.423487142
30	5.831850689	12	0.07	0.423487142
30	5.831850689	12	0.07	0.423487142
30	5.831850689	12	0.07	0.423487142
30	5.831850689	12	0.07	0.423487142
30	5.831850689	12	0.07	0.423487142
30	5.831850689	12	0.00	0
30	5.831850689	12	0.00	0
31	7.099633884	12	0.00	0
31	7.099633884	12	0.00	0
31	7.099633884	12	0.00	0
31	7.099633884	12	0.07	0.515548806
31	7.099633884	12	0.07	0.515548806
31	7.099633884	12	0.07	0.515548806
31	7.099633884	12	0.07	0.515548806
31	7.099633884	12	0.07	0.515548806
31	7.099633884	12	0.07	0.515548806
31	7.099633884	12	0.07	0.515548806
31	7.099633884	12	0.00	0
31	7.099633884	12	0.00	0
32	8.367451357	12	0.00	0
32	8.367451357	12	0.00	0
32	8.367451357	12	0.00	0
32	8.367451357	12	0.07	0.60761296
32	8.367451357	12	0.07	0.60761296
32	8.367451357	12	0.07	0.60761296
32	8.367451357	12	0.07	0.60761296
32	8.367451357	12	0.07	0.60761296
32	8.367451357	12	0.07	0.60761296
32	8.367451357	12	0.07	0.60761296
32	8.367451357	12	0.00	0
32	8.367451357	12	0.00	0
