"Peat_amount"	"Layer"	"Year"	"DPM_pool_accummulated_SOC"	"RPM_pool_accummulated_SOC"	"BIO_pool_accummulated_SOC"	"HUM_pool_accummulated_SOC"	"Total_SOC_accummulated"	"SOC_stock_with_accummulation"
"Plus50"	"H"	6	0.00162475041666667	1.465404052	0.0739093245	1.06885978983333	2.60979791666667	148.600141675
"Mean"	"F"	7	7.95833333333333e-05	0.088937582	0.00448889983333333	0.124071019166667	0.217577083333333	25.6259698033333
"Minus50"	"F"	7	7.90416666666667e-05	0.0889330045	0.00448895033333333	0.12407608725	0.217577083333333	25.62320702
"Plus50"	"F"	7	8.0125e-05	0.088942185	0.00448885066666667	0.124065924416667	0.217577083333333	25.6287318591667
"Mean"	"H"	7	0.00162070841666667	1.67662277133333	0.08538071875	1.24512371808333	3.00874791666667	146.229235558333
"Minus50"	"H"	7	0.00161048725	1.67656747841667	0.0853830849166667	1.24518686608333	3.00874791666667	146.209549291667
"Plus50"	"H"	7	0.00163093116666667	1.676682703	0.0853785601666667	1.24505572275	3.00874791666667	146.248875091667
"Mean"	"F"	8	7.985e-05	0.09961512375	0.00507505725	0.141657058166667	0.246427083333333	25.2840583716667
"Minus50"	"F"	8	7.91416666666667e-05	0.0996084121666667	0.00507511758333333	0.141664415	0.246427083333333	25.28063128
"Plus50"	"F"	8	8.055e-05	0.0996218639166667	0.0050749985	0.1416496715	0.246427083333333	25.2874846516667
"Mean"	"H"	8	0.00162450558333333	1.8844657255	0.0968613583333333	1.42474632708333	3.40769791666667	143.956394725
"Minus50"	"H"	8	0.00161110108333333	1.88438292116667	0.0968645548333333	1.42483933958333	3.40769791666667	143.931961391667
"Plus50"	"H"	8	0.00163791091666667	1.88455380058333	0.0968583998333333	1.42464780516667	3.40769791666667	143.980775916667
"Mean"	"F"	9	8.01416666666667e-05	0.110039128	0.00565702158333333	0.159500791583333	0.275277083333333	24.9542017683333
"Minus50"	"F"	9	7.925e-05	0.110029717916667	0.00565708933333333	0.159511024666667	0.275277083333333	24.9500620908333
"Plus50"	"F"	9	8.1025e-05	0.1100485695	0.0056569555	0.159490525833333	0.275277083333333	24.9583405575
"Mean"	"H"	9	0.00162895425	2.08889720141667	0.10834386125	1.60777789975	3.80664791666667	141.763551525
"Minus50"	"H"	9	0.00161195133333333	2.08877905891667	0.10834801975	1.6079088865	3.80664791666667	141.73401995
"Plus50"	"H"	9	0.00164595633333333	2.08902124608333	0.108339972416667	1.60764074166667	3.80664791666667	141.793025725
"Mean"	"F"	10	8.04833333333333e-05	0.120212585583333	0.00623432666666667	0.177599691916667	0.304127083333333	24.6359691858333
"Minus50"	"F"	10	7.9375e-05	0.120199847	0.0062343985	0.1776134545	0.304127083333333	24.6310723841667
"Plus50"	"F"	10	8.1575e-05	0.120225357666667	0.00623425691666667	0.17758589425	0.304127083333333	24.64086502
"Mean"	"H"	10	0.00163414108333333	2.28992125208333	0.11981984075	1.79422268283333	4.20559791666667	139.648066733333
"Minus50"	"H"	10	0.00161312241666667	2.28975889783333	0.119825089833333	1.79440080666667	4.20559791666667	139.61311155
"Plus50"	"H"	10	0.00165515666666667	2.29009013733333	0.119814893833333	1.79403772916667	4.20559791666667	139.68295945
"Mean"	"F"	11	8.085e-05	0.13013857575	0.00680654708333333	0.195951105833333	0.332977083333333	24.328945735
"Minus50"	"F"	11	7.95416666666667e-05	0.130121814333333	0.00680661733333333	0.195969117916667	0.332977083333333	24.3232505991667
"Plus50"	"F"	11	8.2175e-05	0.13015537175	0.00680647866666667	0.195933057416667	0.332977083333333	24.334639825
"Mean"	"H"	11	0.00164009866666667	2.48754305766667	0.131281367583333	1.98408339266667	4.60454791666667	137.607402458333
"Minus50"	"H"	11	0.00161464333333333	2.48732653408333	0.13128782975	1.98431890958333	4.60454791666667	137.5667213
"Plus50"	"H"	11	0.00166554841666667	2.48776673383333	0.131275240333333	1.98384039408333	4.60454791666667	137.648016216667
"Mean"	"F"	12	8.12666666666667e-05	0.139820260333333	0.00737329491666667	0.214552258333333	0.361827083333333	24.03273095
"Minus50"	"F"	12	7.97e-05	0.139798716166667	0.00737335683333333	0.214575306583333	0.361827083333333	24.0261992591667
"Plus50"	"F"	12	8.28416666666667e-05	0.13984183975	0.00737323491666667	0.214529173166667	0.361827083333333	24.0392615225
"Mean"	"H"	12	0.001646845	2.68176892658333	0.142720951166667	2.17736119383333	5.00349791666667	135.639105733333
"Minus50"	"H"	12	0.00161652641666667	2.68148715583333	0.142728741166667	2.1776654935	5.00349791666667	135.592416891667
"Plus50"	"H"	12	0.00167715408333333	2.68205846208333	0.142713530416667	2.17704876975	5.00349791666667	135.685722391667
"Mean"	"F"	13	8.1725e-05	0.149260881083333	0.00793421875	0.2334002595	0.390677083333333	23.7469380725
"Minus50"	"F"	13	7.98916666666667e-05	0.149233728666667	0.00793426416666667	0.23342919825	0.390677083333333	23.7395343091667
"Plus50"	"F"	13	8.35583333333333e-05	0.149288068166667	0.0079341755	0.233371284333333	0.390677083333333	23.7543406466667
"Mean"	"H"	13	0.00165439341666667	2.87260630491667	0.154131525416667	2.37405569283333	5.40244791666667	133.740801808333
"Minus50"	"H"	13	0.00161877966666667	2.8722470485	0.154140746666667	2.374441342	5.40244791666667	133.6878424
"Plus50"	"H"	13	0.00168999325	2.87297392391667	0.154122708583333	2.37366129125	5.40244791666667	133.793684425
"Mean"	"F"	14	8.22166666666667e-05	0.15846375375	0.0084890015	0.2524921105	0.419527083333333	23.4711935383333
"Minus50"	"F"	14	8.00916666666667e-05	0.158430102	0.00848901975	0.252527861583333	0.419527083333333	23.46288464
"Plus50"	"F"	14	8.43333333333333e-05	0.158497439	0.00848898541666667	0.25245632425	0.419527083333333	23.4795011775
"Mean"	"H"	14	0.00166275733333333	3.06006378558333	0.165506433416667	2.57416494033333	5.80139791666667	131.91019065
"Minus50"	"H"	14	0.0016214095	3.05961360558333	0.165517176166667	2.57464572541667	5.80139791666667	131.850714766667
"Plus50"	"H"	14	0.00170408516666667	3.06052290575	0.165496130833333	2.57367479483333	5.80139791666667	131.969585183333
"Mean"	"F"	15	8.275e-05	0.167432265166667	0.0090373585	0.271824708666667	0.448377083333333	23.2051365575
"Minus50"	"F"	15	8.0325e-05	0.167391156833333	0.00903733716666667	0.271868262583333	0.448377083333333	23.195891715
"Plus50"	"F"	15	8.5175e-05	0.167473404166667	0.00903738183333333	0.271781123083333	0.448377083333333	23.214380075
"Mean"	"H"	15	0.0016719505	3.24415111516667	0.176839413916667	2.77768543716667	6.20034791666667	130.145044291667
"Minus50"	"H"	15	0.00162442283333333	3.24359533375	0.1768517525	2.7782764075	6.20034791666667	130.07882185
"Plus50"	"H"	15	0.00171945075	3.24471638875	0.17682755225	2.777084525	6.20034791666667	130.211181033333
"Mean"	"F"	16	8.3325e-05	0.17616986625	0.009579036	0.2913948565	0.477227083333333	22.948418715
"Minus50"	"F"	16	8.05833333333333e-05	0.176120277333333	0.00957896091666667	0.291447271666667	0.477227083333333	22.9382091825
"Plus50"	"F"	16	8.6075e-05	0.17621948075	0.00957911358333333	0.291342414583333	0.477227083333333	22.9586268591667
"Mean"	"H"	16	0.0016819875	3.4248791985	0.188124588166667	2.98461214266667	6.59929791666667	128.443204841667
"Minus50"	"H"	16	0.001627827	3.42420185716667	0.18813857825	2.98532965416667	6.59929791666667	128.370020108333
"Plus50"	"H"	16	0.00173611225	3.42556655033333	0.188111111833333	2.98388414233333	6.59929791666667	128.5162996
"Mean"	"F"	17	8.39333333333333e-05	0.184680068833333	0.0101138104166667	0.311199266083333	0.506077083333333	22.7007035933333
"Minus50"	"F"	17	8.08416666666667e-05	0.184620909333333	0.0101136648333333	0.311261669833333	0.506077083333333	22.6895025266667
"Plus50"	"F"	17	8.705e-05	0.184739247083333	0.0101139583333333	0.311136842833333	0.506077083333333	22.7119032091667
"Mean"	"H"	17	0.00169288383333333	3.60226009866667	0.19935644675	3.19493848783333	6.99824791666667	126.802582283333
"Minus50"	"H"	17	0.001631629	3.601443918	0.199372123916667	3.19580024591667	6.99824791666667	126.722232916667
"Plus50"	"H"	17	0.00175409216666667	3.6030867665	0.19934132175	3.19406573625	6.99824791666667	126.882837566667
"Mean"	"F"	18	8.45916666666667e-05	0.19296643975	0.0106414845	0.3312345665	0.534927083333333	22.4616663975
"Minus50"	"F"	18	8.1125e-05	0.192896553666667	0.0106412496666667	0.3313081545	0.534927083333333	22.4494487141667
"Plus50"	"F"	18	8.80666666666667e-05	0.193036335333333	0.0106417223333333	0.331160968583333	0.534927083333333	22.4738825741667
"Mean"	"H"	18	0.00170465516666667	3.77630703425	0.210529837666667	3.40865638958333	7.39719791666667	125.221152691667
"Minus50"	"H"	18	0.00163583708333333	3.77533337316667	0.21054721375	3.40968149283333	7.39719791666667	125.133448683333
"Plus50"	"H"	18	0.00177341441666667	3.77729160883333	0.210513053333333	3.40761984016667	7.39719791666667	125.308758625
"Mean"	"F"	19	8.52833333333333e-05	0.2010325965	0.011161889	0.351497310666667	0.563777083333333	22.230993605
"Minus50"	"F"	19	8.14333333333333e-05	0.200950761416667	0.0111615435833333	0.351583347333333	0.563777083333333	22.217735845
"Plus50"	"F"	19	8.915e-05	0.201114429083333	0.0111622373333333	0.351411276666667	0.563777083333333	22.2442497991667
"Mean"	"H"	19	0.00171731816666667	3.94703437541667	0.221639954166667	3.62575626883333	7.79614791666667	123.696956266667
"Minus50"	"H"	19	0.00164045891666667	3.94588319025	0.221659015166667	3.62696525258333	7.79614791666667	123.601719133333
