Nr 	Pit	Name	Age	Horizon	BD_nr	Dish_weight	Wet_soil_dish	Wet_soil_weight	Dry_soil _dish	Dry_soil	Stones weight	Volume
350	18	Ryvoan	V.OLD	Oh. Low	BD2	8.8	174.79	165.99	45.23	36.43	NA	-10000
351	18	Ryvoan	V.OLD	Oh. Low	BD2	8.82	234.47	225.65	58.87	50.05	NA	-10000
352	18	Ryvoan	V.OLD	Oh. Low	BD3	8.77	214.97	206.2	68.66	59.89	NA	-10000
353	18	Ryvoan	V.OLD	Oh. Low	BD3	8.86	189.77	180.91	56.25	47.39	NA	-10000
354	18	Ryvoan	V.OLD	Oh. Low	BD3	8.86	172.19	163.33	54.68	45.82	NA	-10000
355	9	Drum. Lodge 	YNG	E	BD1	8.99	155.57	146.58	123.63	114.64	35.87	100
356	9	Drum. Lodge 	YNG	E	BD2	8.92	157.39	148.47	133.42	124.5	67.76	100
357	9	Drum. Lodge 	YNG	E	BD3	8.9	166.04	157.14	143.46	134.56	80.66	100
358	9	Drum. Lodge 	YNG	E	BD4	8.87	169.15	160.28	145.03	136.16	99.34	100
359	9	Drum. Lodge 	YNG	E	BD5	8.87	126.66	117.79	109.9	101.03	73.51	100
360	10	Drum. Lodge 	YNG	Bhs	BD1	8.79	158.81	150.02	116.38	107.59	52.81	100
361	10	Drum. Lodge 	YNG	Bhs	BD2	8.83	153.07	144.24	120	111.17	64.07	100
362	10	Drum. Lodge 	YNG	Bhs	BD3	9	158.22	149.22	120.19	111.19	55.59	100
363	10	Drum. Lodge 	YNG	Bhs	BD4	8.65	165.15	156.5	127.44	118.79	54.91	100
364	10	Drum. Lodge 	YNG	Bhs	BD5	8.91	155.96	147.05	119.8	110.89	61.72	100
365	5	L.Mor	OLD	Bhs	BD1	8.86	129.25	120.39	119.67	110.81	66.35	100
