"Land_use"	"Year"	"Modelling"	"TotalSOC_stock_tha"	"Min_TotalSOC_stock_tha"	"Max_TotalSOC_stock_tha"	"DPM_stock_tha"	"Min_DPM_stock_tha"	"Max_DPM_stock_tha"	"RPM_stock_tha"	"Min_RPM_stock_tha"	"Max_RPM_stock_tha"	"BIO_stock_tha"	"Min_BIO_stock_tha"	"Max_BIO_stock_tha"	"HUM_stock_tha"	"Min_HUM_stock_tha"	"Max_HUM_stock_tha"	"IOM_stock_tha"	"Min_IOM_stock_tha"	"Max_IOM_stock_tha"
"Forest "	27	"FH_acc"	174.679381813333	100.78	249.9634285	0.01125676075	0.000880294	0.022359273	34.4581365763333	23.23283527	53.34703024	2.44310114898333	1.747394308	3.619829034	116.3261272935	56.33405811	165.5058471	22.349973694	16.68	31.98
"Grassland"	27	"FH_acc"	124.060908969444	112.2421605	131.25	0.0149069698333333	0.00734167	0.02061519	2.98053883172222	1.607393006	4.67619511	0.737400888722222	0.450525726	0.980410576	103.161494173889	90.14071048	113.5159506	18.59737393	16.77	21.35613082
"Forest "	28	"FH_acc"	173.473529976667	99.93	248.1933671	0.02012245615	0.009946562	0.032430313	33.473509345	22.64413566	51.8312298	2.38834116795	1.710286596	3.54628745	116.186235562667	56.20802335	165.4974535	22.349973694	16.68	31.98
"Grassland"	28	"FH_acc"	122.923181905556	111.1631946	129.85	0.0250766440555556	0.010632257	0.034437397	2.83090187480556	1.592027558	4.367902288	0.711189618805556	0.438634728	0.940457179	102.189605091667	89.29079899	112.6223712	18.59737393	16.77	21.35613082
"Forest "	29	"FH_acc"	172.364373513333	99.16	246.529182	0.0298511709	0.010917174	0.042540707	32.583093786	22.15408856	50.42210588	2.3366106103	1.673103716	3.472602899	116.044710233167	56.09120161	165.4784094	22.349973694	16.68	31.98
"Grassland"	29	"FH_acc"	121.884840891667	110.1856091	128.56	0.0377531038333333	0.020749943	0.050851868	2.766952384	1.595382569	4.161044249	0.687096885055556	0.429646496	0.900515449	101.225738045833	88.46090188	111.7356158	18.59737393	16.77	21.35613082
"Forest "	30	"FH_acc"	171.348205968333	98.48	244.9812122	0.0391526179333333	0.020949037	0.062351469	31.7822292801667	21.75279904	49.11988583	2.28809388643333	1.6456232	3.399887594	115.903452411	55.9635919	165.4620387	22.349973694	16.68	31.98
"Grassland"	30	"FH_acc"	120.939362288889	109.3033098	127.37	0.0518794880555556	0.035262075	0.071064789	2.78216244919444	1.670793427	4.074383094	0.667821349666667	0.423463096	0.870580712	100.271198331944	87.63102481	110.8564047	18.59737393	16.77	21.35613082
"Forest "	31	"FH_acc"	170.420029276667	97.89	243.529782	0.0491580343333333	0.028719953	0.072469205	31.0664444188333	21.4403683	47.91478916	2.24096689673333	1.618304792	3.326986196	115.762020676833	55.84519438	165.4417325	22.349973694	16.68	31.98
"Grassland"	31	"FH_acc"	120.08095765	108.5110236	126.27	0.0657441183888889	0.046713537	0.082442844	2.87101053077778	1.813108881	4.089617237	0.651029579361111	0.419956988	0.840661421	99.3263675655556	86.8111741	109.9853068	18.59737393	16.77	21.35613082
"Forest "	32	"FH_acc"	169.575605801667	97.38	242.1752035	0.0585237339666667	0.031055878	0.082612761	30.430456084	21.19689378	46.81702787	2.19773525413333	1.591134798	3.263378856	115.62130305	55.7260103	165.4207614	22.349973694	16.68	31.98
"Grassland"	32	"FH_acc"	119.305420555556	107.8040498	125.26	0.0797683953888889	0.058409572	0.101679193	3.02837078763889	2.017748029	4.205038265	0.639101517888889	0.418702153	0.820762205	98.3912870152778	86.00135659	109.1227945	18.59737393	16.77	21.35613082
"Forest "	33	"FH_acc"	168.812922825	96.95	240.9277771	0.0694132923833333	0.041120395	0.102782182	29.8721681015	21.02246936	45.80680666	2.15806913663333	1.573472687	3.199625337	115.481351687333	55.60604193	165.3956256	22.349973694	16.68	31.98
"Grassland"	33	"FH_acc"	118.60805385	107.1781283	124.431785	0.0944518649722222	0.070243677	0.122081909	3.2500181535	2.280629159	4.3817773	0.629696286694444	0.418943367	0.800887857	97.4670610386111	85.20157959	108.2692699	18.59737393	16.77	21.35613082
"Forest "	34	"FH_acc"	168.126014281667	96.6	239.7677924	0.0793257828333333	0.041212975	0.11297748	29.3865035738333	20.90718544	44.89432319	2.11997052228333	1.555965277	3.145227458	115.3427168215	55.48529247	165.3732585	22.349973694	16.68	31.98
"Grassland"	34	"FH_acc"	117.984712788889	106.6293743	123.9388613	0.109215607666667	0.082171488	0.132591707	3.53147469105556	2.598102233	4.620008013	0.622701154583333	0.42053457	0.781057581	96.5536434272222	84.40185082	107.4250798	18.59737393	16.77	21.35613082
"Forest "	35	"FH_acc"	167.513623005	96.31	238.6955287	0.0889276074166667	0.051300439	0.123198662	28.9702374863333	20.8357257	44.07976834	2.0844401448	1.538401147	3.090223684	115.205113582	55.36376605	165.3402175	22.349973694	16.68	31.98
"Grassland"	35	"FH_acc"	117.432875002778	106.154229	123.5105901	0.123494378833333	0.094174873	0.153079258	3.87047362694444	2.966900025	4.929898783	0.619955690305556	0.42434431	0.771250909	95.6520655672222	83.62217842	106.5905242	18.59737393	16.77	21.35613082
"Forest "	36	"FH_acc"	166.973031416667	96.1	237.7212551	0.0992187050166667	0.0613978	0.143445728	28.6213291388333	20.77948767	43.34332644	2.05281101525	1.521174417	3.036584493	115.070422082167	55.25146768	165.3101655	22.349973694	16.68	31.98
"Grassland"	36	"FH_acc"	116.947165830556	105.7494254	123.1507307	0.138950892277778	0.106246325	0.173673983	4.26220475311111	3.384089246	5.291612859	0.618863505611111	0.430318801	0.761506107	94.7608299088889	82.84257092	105.7658635	18.59737393	16.77	21.35613082
"Forest "	37	"FH_acc"	166.5008922	95.95	236.8352314	0.10869903215	0.061530734	0.153718678	28.3357544001667	20.77258159	42.69211543	2.02224856975	1.513115191	2.983276298	114.936354214833	55.1284032	165.2821069	22.349973694	16.68	31.98
"Grassland"	37	"FH_acc"	116.527388758333	105.4119534	122.8490497	0.153083361361111	0.118382928	0.184332762	4.70428502119444	3.847031305	5.715308515	0.621281131222222	0.438351097	0.761763565	93.8820247169444	82.08303719	104.9513235	18.59737393	16.77	21.35613082
"Forest "	38	"FH_acc"	166.094726686667	95.86	236.0348458	0.11886856995	0.071651133	0.164017514	28.1120049115	20.82508745	42.14194539	1.99625079101667	1.505399532	2.93842294	114.806120342333	55.02457921	165.2508132	22.349973694	16.68	31.98
