"Sample.nr."	"Pit_nr"	"Name"	"Age"	"Horizon"	"PSA_nr"	"pH"	"Nperc"	"Cperc"	"Depth"	"Stones_observed_perc"	"Sotnes_measured_perc"	"Moisture"	"BD"	"Clay"	"Silt"	"Sand"	"PSA_Moisture"	"Horizon_Width"	"Comments"	"N_tha"	"C_tha"	"marker"
5	19	"RYV"	"OLD"	"Bhs"	60	3.93	0.111	3.087	55	0.5	0.05681566285	25.05333876	"1.083056041"	2.9	13.3	83.8	15.3	19.5	NA	NA	NA	"19_Bhs"
7	20	"RYV"	"OLD"	"Oh_UPP"	NA	2.65	1.462	49.559	4	0	0	431.9788977	"0.090580392"	NA	NA	NA	NA	4	NA	NA	NA	"20_Oh_UPP"
8	20	"RYV"	"OLD"	"Oh_LOW"	NA	2.52	0.682	50.76	14	0	0	345.4051519	"0.143105882"	NA	NA	NA	NA	10	NA	NA	NA	"20_Oh_LOW"
9	20	"RYV"	"OLD"	"Ah"	61	2.57	0.71	37.712	15	0	NA	NA	"0.51583011"	28.3	26.1	45.6	59.8	1	NA	NA	NA	"20_Ah"
10	20	"RYV"	"OLD"	"E"	62	3.55	0.064	0.897	19	0.05	0.05628114405	20.86591334	"1.137888991"	2.2	15.7	82.1	3.86	4	NA	NA	NA	"20_E"
11	20	"RYV"	"OLD"	"Bhs"	63	3.87	0.065	1.345	59	0.1	0.02389667701	37.91073256	"0.929114547"	4.2	17.1	78.7	18.8	40	NA	NA	NA	"20_Bhs"
NA	16	"BADA"	"OLD"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"16_Litter"
NA	15	"BADA"	"V.OLD"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"15_Litter"
NA	17	"BADA"	"V.OLD"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"17_Litter"
NA	11	"COYL"	"YNG"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"11_Litter"
NA	14	"COYL"	"YNG"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"14_Litter"
NA	9	"DRUM"	"YNG"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9_Litter"
NA	10	"DRUM"	"YNG"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"10_Litter"
NA	12	"L.EIL"	"YNG"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"12_Litter"
NA	13	"L.EIL"	"YNG"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"13_Litter"
NA	4	"MOR"	"GRASS"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4_Litter"
NA	5	"MOR"	"OLD"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"5_Litter"
NA	6	"MOR"	"V.OLD"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"6_Litter"
NA	19	"RYV"	"OLD"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"19_Litter"
NA	20	"RYV"	"OLD"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"20_Litter"
NA	18	"RYV"	"V.OLD"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"18_Litter"
NA	3	"TULL"	"OLD"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3_Litter"
NA	2	"TULL"	"V.OLD"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"2_Litter"
NA	16	"BADA"	"OLD"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00992256	1.0770112	"16_Litter"
NA	15	"BADA"	"V.OLD"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03727296	3.62376	"15_Litter"
NA	17	"BADA"	"V.OLD"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0179328	2.32857408	"17_Litter"
NA	11	"COYL"	"YNG"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00536384	0.47516224	"11_Litter"
NA	14	"COYL"	"YNG"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0020992	0.1378816	"14_Litter"
NA	9	"DRUM"	"YNG"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0016	0.16352	"9_Litter"
NA	10	"DRUM"	"YNG"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002465	0.298845	"10_Litter"
NA	12	"L.EIL"	"YNG"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.032336	3.2594688	"12_Litter"
NA	13	"L.EIL"	"YNG"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02576448	3.15185472	"13_Litter"
NA	4	"MOR"	"GRASS"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0532704	1.2618784	"4_Litter"
NA	5	"MOR"	"OLD"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02094848	1.9863648	"5_Litter"
NA	6	"MOR"	"V.OLD"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04962816	5.3453664	"6_Litter"
NA	19	"RYV"	"OLD"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01189888	0.95785984	"19_Litter"
NA	20	"RYV"	"OLD"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01716352	2.03543744	"20_Litter"
NA	18	"RYV"	"V.OLD"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01301248	1.2862336	"18_Litter"
NA	3	"TULL"	"OLD"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02656	3.39304	"3_Litter"
NA	2	"TULL"	"V.OLD"	"Litter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06770688	5.54138496	"2_Litter"
